date,filtered,baseline
2019-01-07,100000.0,100000.0
2019-01-14,100000.0,100000.0
2019-01-21,100000.0,100000.0
2019-01-28,100000.0,100000.0
2019-02-04,100000.0,100000.0
2019-02-11,100000.0,100000.0
2019-02-18,100000.0,100000.0
2019-02-25,100000.0,100000.0
2019-03-05,100000.0,100000.0
2019-03-11,100000.0,100000.0
2019-03-18,100000.0,100000.0
2019-03-25,100000.0,100000.0
2019-04-01,100000.0,100000.0
2019-04-08,100000.0,100000.0
2019-04-15,100000.0,100000.0
2019-04-22,100000.0,100000.0
2019-04-30,100000.0,100000.0
2019-05-06,100000.0,100000.0
2019-05-13,100000.0,100000.0
2019-05-20,100000.0,100000.0
2019-05-27,100000.0,100000.0
2019-06-03,100000.0,100000.0
2019-06-10,100000.0,100000.0
2019-06-17,100000.0,100000.0
2019-06-24,100000.0,100000.0
2019-07-01,100000.0,100000.0
2019-07-08,100000.0,100000.0
2019-07-15,100000.0,100000.0
2019-07-22,100000.0,100000.0
2019-07-29,100000.0,100000.0
2019-08-05,100000.0,100000.0
2019-08-13,100000.0,100000.0
2019-08-19,100000.0,100000.0
2019-08-26,100000.0,100000.0
2019-09-03,100000.0,100000.0
2019-09-09,100000.0,100000.0
2019-09-16,100000.0,100000.0
2019-09-23,100000.0,100000.0
2019-09-30,100000.0,100000.0
2019-10-07,100000.0,100000.0
2019-10-14,100000.0,100000.0
2019-10-22,100000.0,100000.0
2019-10-27,100000.0,100000.0
2019-11-04,100000.0,100000.0
2019-11-11,100000.0,100000.0
2019-11-18,100000.0,100000.0
2019-11-25,100000.0,100000.0
2019-12-02,100000.0,100000.0
2019-12-09,100000.0,100000.0
2019-12-16,100000.0,100000.0
2019-12-23,100000.0,100000.0
2019-12-30,100000.0,100000.0
2020-01-06,100000.0,100000.0
2020-01-13,100000.0,100000.0
2020-01-20,100000.0,100000.0
2020-01-27,100000.0,100000.0
2020-02-03,100000.0,100000.0
2020-02-10,99893.13346,99893.13346
2020-02-17,99677.36866725693,99677.36866725693
2020-02-24,101311.37692851547,101311.37692851547
2020-03-02,93324.58668908577,93449.03788410858
2020-03-09,93324.58668908577,87810.33732306949
2020-03-16,93324.58668908577,78393.97466656369
2020-03-23,93324.58668908577,67800.56728360892
2020-03-30,93324.58668908577,69980.05921713269
2020-04-07,93324.58668908577,76656.08993030485
2020-04-13,93324.58668908577,80402.78388975615
2020-04-20,93324.58668908577,84880.19858789418
2020-04-27,93324.58668908577,86875.28885715775
2020-05-04,93324.58668908577,86715.58096543078
2020-05-11,93324.58668908577,87882.41916895105
2020-05-18,93324.58668908577,86514.56421073497
2020-05-26,93324.58668908577,87643.71646404476
2020-06-01,93324.58668908577,92390.81135773653
2020-06-08,93324.58668908577,95186.11099613243
2020-06-15,93324.58668908577,98133.78938044577
2020-06-22,93224.85393232187,106291.43051060435
2020-06-29,91053.3212067082,101201.92621268533
2020-07-06,93673.77201518473,104758.88804979846
2020-07-13,93511.26786423294,103100.75201984175
2020-07-20,92845.57065427848,102583.64327006013
2020-07-27,94568.0050403752,105041.95852801243
2020-08-03,93385.50535513755,104979.71656950125
2020-08-10,101753.27000643998,113196.5707611379
2020-08-17,99131.20437160283,111025.16503217688
2020-08-24,102838.0503795694,116058.7029178294
2020-08-31,99729.64011268289,115125.14477855542
2020-09-07,106752.72242335498,126694.29082586411
2020-09-14,115698.76692621235,137398.2150893993
2020-09-21,113819.93366345346,134614.37379569063
2020-09-28,118375.14502329523,140494.45112366037
2020-10-05,118289.12961862389,142706.4714711041
2020-10-12,116814.8015867874,136266.72235210057
2020-10-19,118204.18699691482,139140.0551673798
2020-10-26,117963.57624398977,139756.56688200033
2020-11-02,120674.94399982077,149194.29673248198
2020-11-09,125477.55350126192,158004.32837585013
2020-11-14,142794.10377198918,180750.34427600724
2020-11-23,150489.6153496092,196699.97313391283
2020-12-01,156113.74512501163,198833.84730570661
2020-12-07,158530.2474255815,198600.3405693233
2020-12-14,158558.68017811823,196222.30847294483
2020-12-21,158285.52281194486,197810.43065762665
2020-12-28,168967.11773453266,209048.58965963896
2021-01-04,173767.81594829907,215515.22103840136
2021-01-11,172024.97718393157,209192.71797639102
2021-01-18,168111.67068988888,207032.1035242626
2021-01-25,165998.3762781605,207406.85858567015
2021-02-01,170011.05578658314,207757.74794908558
2021-02-08,181890.16760672847,221960.3378583238
2021-02-15,185446.60592065315,225243.50271355803
2021-02-22,190650.07911823245,231875.7538622317
2021-03-01,191990.18982612813,233710.7838664736
2021-03-08,193588.7123108902,235496.22448134804
2021-03-15,199244.39302472858,242626.25093632608
2021-03-22,197790.4248858,244583.18404365325
2021-03-30,192690.7823696673,237397.49529434755
2021-04-05,197221.30559897568,238769.17316019538
2021-04-12,199505.30185114432,241123.24518604172
2021-04-19,196597.98614839985,240250.0137607994
2021-04-26,199654.17771487596,242676.314504992
2021-05-03,199440.8142031866,254708.2050694305
2021-05-10,214720.2883623846,274762.76430026576
2021-05-17,205604.12148383856,262668.12091009924
2021-05-24,222703.082344656,286116.3090125788
2021-05-31,225975.1478119653,288388.8515727926
2021-06-07,237720.0742432819,311875.9144967221
2021-06-14,244569.47234450124,318635.34084094514
2021-06-21,234078.66919694166,300567.289257246
2021-06-28,231431.82696018633,291617.9237643712
2021-07-05,226424.66158140355,282212.8506652189
2021-07-12,233775.5883854836,286600.27910602314
2021-07-19,231754.37757763517,284453.32542872726
2021-07-26,240092.67512145915,295335.7432042915
2021-08-02,239404.203615708,294001.1862026075
2021-08-09,236551.83432004703,290034.1890120944
2021-08-16,229715.6025901171,281144.3642387018
2021-08-23,214067.4998813406,261955.2479553381
2021-08-30,230016.2198757538,280848.04699718667
2021-09-06,233930.6318664687,285336.21027370094
2021-09-13,245366.19163537349,293596.25498352956
2021-09-20,238265.410061061,289678.4322534684
2021-09-27,252784.9303868792,310510.8913049725
2021-10-04,264831.2977444091,328930.5201855013
2021-10-11,278427.75113906816,347275.89771100995
2021-10-18,286258.7324314449,356701.0567183706
2021-10-25,268289.6493344918,333866.5376573156
2021-11-01,271783.4367854577,338726.96994869836
2021-11-08,287048.5460872524,357444.83913109964
2021-11-15,299168.92033434316,372469.17671961157
2021-11-22,307538.3413179381,382996.5093838364
2021-11-29,327326.9928617459,407850.50131024566
2021-12-06,326977.18982998846,434939.11254703323
2021-12-13,352926.81425861386,466302.6475929331
2021-12-20,334428.85719551874,472512.05740581336
2021-12-27,334428.85719551874,489397.4106280944
2022-01-03,334428.85719551874,541215.2072074707
2022-01-10,334071.4646470724,606927.1976810676
2022-01-17,345192.71726512583,575800.4587029334
2022-01-24,319510.56607618637,502935.7755128037
2022-01-31,319510.56607618637,478883.7992807899
2022-02-07,319510.56607618637,488788.2289610083
2022-02-14,319510.56607618637,451024.33013868594
2022-02-21,319510.56607618637,438356.42760407564
2022-02-28,319510.56607618637,418329.0200841043
2022-03-07,319510.56607618637,398955.99252485856
2022-03-14,319510.56607618637,437267.95907470846
2022-03-21,319510.56607618637,458625.8280450293
2022-03-28,319510.56607618637,464450.26344091824
2022-04-04,319169.1161892863,506620.923762397
2022-04-11,324881.77123825427,526197.0420245349
2022-04-18,315308.62116753444,495104.5832579157
2022-04-25,308271.0268665274,473127.70288582216
2022-05-02,308271.0268665274,447982.1232118588
2022-05-09,308271.0268665274,430112.2247925546
2022-05-16,308271.0268665274,402480.12129816366
2022-05-23,308271.0268665274,411356.15701900615
2022-05-30,308271.0268665274,402412.8303971446
2022-06-06,308271.0268665274,413238.8334618132
2022-06-13,308271.0268665274,412238.3225699725
2022-06-20,308271.0268665274,365183.3918911318
2022-06-27,308271.0268665274,400916.4512468182
2022-07-04,308271.0268665274,391766.57860136166
2022-07-11,308271.0268665274,402384.64348829
2022-07-18,308271.0268665274,412132.68980328814
2022-07-25,307941.5882862927,416831.6237042087
2022-08-01,311062.83783103107,418984.9651364576
2022-08-08,308353.5158503481,412545.9301025029
2022-08-16,313846.3320818495,420965.9161764126
2022-08-22,313114.74341722537,418446.6381284093
2022-08-29,320556.9662572492,422588.38381105807
2022-09-05,323463.17038668843,462101.5133659143
2022-09-12,329412.97235803225,459947.31196441944
2022-09-19,332380.20049910893,454870.76977829396
2022-09-26,315576.32165263593,427363.6086309824
2022-10-03,304735.4353431876,413416.2634092501
2022-10-10,313611.7744679861,419265.41060275503
2022-10-17,312585.64807559416,428608.4481024526
2022-10-24,322941.9822968886,437572.7130637412
2022-10-31,321910.47528665385,436153.69729084393
2022-11-07,334189.5047185213,449021.1741363545
2022-11-14,332545.47814426315,447336.8323160339
2022-11-21,331126.08432730014,443006.0292395174
2022-11-28,330820.6499029673,442614.4973799069
2022-12-05,335493.4805977968,448893.26697586605
2022-12-12,333745.15692003,446532.69847680675
2022-12-19,331982.1067867415,444189.8447308107
2022-12-26,307594.01524095493,411432.33728447056
2023-01-02,307265.30015962,428668.2036880724
2023-01-09,305798.0713456119,427198.64171146293
2023-01-16,305471.2755273781,414897.0905881384
2023-01-23,307002.58060747234,418253.461362961
2023-01-30,288173.60874475207,392280.3601942432
2023-02-06,288173.60874475207,386080.1483146171
2023-02-13,288173.60874475207,377146.3814209209
2023-02-20,288173.60874475207,381860.59198189154
2023-02-27,288173.60874475207,352534.5974932412
2023-03-06,288173.60874475207,382609.70343289216
2023-03-13,288173.60874475207,375202.1893478883
2023-03-20,288173.60874475207,369069.39243835775
2023-03-27,288173.60874475207,359719.0530917995
2023-04-03,288173.60874475207,384873.642477058
2023-04-10,288173.60874475207,391122.44297772966
2023-04-17,288173.60874475207,398803.6202578137
2023-04-24,288173.60874475207,415506.1685397782
2023-05-02,287865.64757989347,418601.1203448229
2023-05-08,290450.57330275344,422777.91982422926
2023-05-15,289754.73225310736,421028.4035506594
2023-05-22,288349.65374062554,419113.2568998111
2023-05-29,288134.216512384,419425.65817142045
2023-06-05,302299.395961454,440440.7368183796
2023-06-12,316130.20896073576,461648.70117041655
2023-06-19,336842.56876475876,492910.56771604146
2023-06-26,338517.2799669638,496320.28239780175
2023-07-03,352559.7643218064,517538.10400484747
2023-07-10,354629.9395372803,520644.4522803792
2023-07-17,378874.0186057442,557153.6915923756
2023-07-24,408374.4048020133,602088.2217808781
2023-07-31,408526.5002268533,601904.9571952329
2023-08-07,407108.36850236426,599777.1159706666
2023-08-14,408355.8595042935,602405.8148052559
2023-08-21,428185.2278042637,635821.0438937083
2023-08-28,444765.8810901436,652297.5229559988
2023-09-04,465661.34119163995,681751.8501651691
2023-09-11,499081.3417615645,731444.3866675996
2023-09-18,476985.8255471316,696418.6729259462
2023-09-25,467737.39291585394,680184.6965298424
2023-10-03,473773.427170218,689178.7094721562
2023-10-09,453964.5552529596,659780.1105378257
2023-10-16,484034.48403689545,703029.2735346538
2023-10-23,465563.6300119186,675476.2854889657
2023-10-30,474711.5162244254,688868.0231222407
2023-11-06,474711.5162244254,713289.8362897522
2023-11-13,474711.5162244254,739592.153755092
2023-11-20,474204.2084520549,774846.4585460249
2023-11-28,469385.27617354196,767997.2829118677
2023-12-04,480673.11495304434,788568.9676571281
2023-12-11,480111.11793824565,795605.5196449108
2023-12-18,484884.41758437396,800484.5820554313
2023-12-26,478247.37055439345,784701.6116388249
2024-01-01,487476.4095775367,798838.8667348273
2024-01-08,497691.4272106334,814919.1626945214
2024-01-15,509163.3788065474,835756.4320024478
2024-01-23,496744.4283564267,822827.5041858117
2024-01-29,527070.64560462,868041.118445446
2024-02-05,552301.213590943,894006.5925846699
2024-02-12,538695.2925023924,861029.3231673475
2024-02-19,557066.9957522752,893315.7758848941
2024-02-26,562661.5255542853,902533.9033939774
2024-03-04,554246.6230635247,886658.329537562
2024-03-11,529629.947343575,845437.0324392946
2024-03-18,506387.49804377777,805816.0123094347
2024-03-26,525787.0435910798,837503.6638640346
2024-04-01,549948.2923358605,876468.699128602
2024-04-08,580546.8189931716,926242.9292269464
2024-04-15,565982.8233466637,902322.678983751
2024-04-22,602626.9147789362,961579.0791413053
2024-04-29,622929.2487169885,995112.0504670703
2024-05-06,610427.051889805,975051.6594663337
2024-05-13,578301.2306082161,922867.0753249691
2024-05-21,650332.95444863,1039761.596853168
2024-05-27,660040.1902224558,1055373.8310791145
2024-06-03,683153.3875327465,1092073.8833323342
2024-06-10,664212.6362175728,1061680.341469171
2024-06-18,717474.1202905918,1147442.4347946655
2024-06-24,715007.3352368401,1142981.262639924
2024-07-01,717949.8758402525,1147870.0273977525
2024-07-08,757304.9359943756,1211482.8279395627
2024-07-15,764393.5409993515,1222871.756304793
2024-07-22,719785.9737798969,1154647.3546399963
2024-07-29,740931.9296019293,1189328.4704942906
2024-08-05,718522.5638730752,1154565.7099554767
2024-08-12,717779.2273674539,1152579.242502876
2024-08-19,716247.9026578027,1150726.1646927332
2024-08-26,701822.1287574511,1127207.611926479
2024-09-02,702714.3358674634,1128747.3484207818
2024-09-09,669312.1693948898,1075247.7372620765
2024-09-16,672764.0615708146,1081051.986722203
2024-09-23,659186.0995514236,1058776.1674273345
2024-09-30,649224.9134568452,1043376.8393148666
2024-10-07,605251.983662083,972618.9530876097
2024-10-14,646193.1267106828,1038837.0335305094
2024-10-21,629958.9772250376,1012679.6266456889
2024-10-28,609924.5264905035,980105.2532993795
2024-11-04,609924.5264905035,1036346.4403960988
2024-11-11,609924.5264905035,1024446.0597727199
2024-11-18,609924.5264905035,982249.4650309364
2024-11-25,609924.5264905035,1010567.3467305232
2024-12-02,609924.5264905035,1027389.1819412274
2024-12-09,609924.5264905035,1083823.779552762
2024-12-16,609272.7212524317,1092635.816601181
2024-12-23,583819.1245616532,1056043.7439205889
2024-12-30,583819.1245616532,1053926.0855821467
