Symbol,yf_ticker,Company Name,Industry
360ONE,360ONE.NS,360 ONE WAM Ltd.,Financial Services
3MINDIA,3MINDIA.NS,3M India Ltd.,Diversified
ABB,ABB.NS,ABB India Ltd.,Capital Goods
ACC,ACC.NS,ACC Ltd.,Construction Materials
ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power
AIAENG,AIAENG.NS,AIA Engineering Ltd.,Capital Goods
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services
AWL,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services
AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,Chemicals
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,Financial Services
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,Healthcare
ACE,ACE.NS,Action Construction Equipment Ltd.,Capital Goods
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power
ATGL,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL,ABREL.NS,Aditya Birla Real Estate Ltd.,Realty
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services
CPPLUS,CPPLUS.NS,Aditya Infotech Ltd.,Capital Goods
AEGISLOG,AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AFCONS,AFCONS.NS,Afcons Infrastructure Ltd.,Construction
AFFLE,AFFLE.NS,Affle 3i Ltd.,Information Technology
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare
ABDL,ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
AMBER,AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ,ANANTRAJ.NS,Anant Raj Ltd.,Realty
ANGELONE,ANGELONE.NS,Angel One Ltd.,Financial Services
ANTHEM,ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare
ANURAS,ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals
APARINDS,APARINDS.NS,Apar Industries Ltd.,Capital Goods
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components
APTUS,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services
ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables
ASTERDM,ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare
ASTRAL,ASTRAL.NS,Astral Ltd.,Capital Goods
ATHERENERG,ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components
ATUL,ATUL.NS,Atul Ltd.,Chemicals
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare
AIIL,AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services
DMART,DMART.NS,Avenue Supermarts Ltd.,Consumer Services
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services
BEML,BEML.NS,BEML Ltd.,Capital Goods
BLS,BLS.NS,BLS International Services Ltd.,Consumer Services
BSE,BSE.NS,BSE Ltd.,Financial Services
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services
BAJAJHFL,BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services
BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services
BANKINDIA,BANKINDIA.NS,Bank of India,Financial Services
MAHABANK,MAHABANK.NS,Bank of Maharashtra,Financial Services
BATAINDIA,BATAINDIA.NS,Bata India Ltd.,Consumer Durables
BAYERCROP,BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals
BELRISE,BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components
BERGEPAINT,BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables
BDL,BDL.NS,Bharat Dynamics Ltd.,Capital Goods
BEL,BEL.NS,Bharat Electronics Ltd.,Capital Goods
BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components
BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication
BHARTIHEXA,BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication
BIKAJI,BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
GROWW,GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services
BIOCON,BIOCON.NS,Biocon Ltd.,Healthcare
BSOFT,BSOFT.NS,Birlasoft Ltd.,Information Technology
BLUEDART,BLUEDART.NS,Blue Dart Express Ltd.,Services
BLUEJET,BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare
BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables
BBTC,BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components
FIRSTCRY,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services
BRIGADE,BRIGADE.NS,Brigade Enterprises Ltd.,Realty
BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods
MAPMYINDIA,MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology
CCL,CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CESC,CESC.NS,CESC Ltd.,Power
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods
CIEINDIA,CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components
CRISIL,CRISIL.NS,CRISIL Ltd.,Financial Services
CANFINHOME,CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services
CANBK,CANBK.NS,Canara Bank,Financial Services
CANHLIFE,CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare
CGCL,CGCL.NS,Capri Global Capital Ltd.,Financial Services
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods
CARTRADE,CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services
CASTROLIND,CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels
CEATLTD,CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components
CEMPRO,CEMPRO.NS,Cemindia Projects Ltd.,Construction
CENTRALBK,CENTRALBK.NS,Central Bank of India,Financial Services
CDSL,CDSL.NS,Central Depository Services (India) Ltd.,Financial Services
CHALET,CHALET.NS,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN,CHOICEIN.NS,Choice International Ltd.,Financial Services
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare
CUB,CUB.NS,City Union Bank Ltd.,Financial Services
CLEAN,CLEAN.NS,Clean Science and Technology Ltd.,Chemicals
COALINDIA,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods
COFORGE,COFORGE.NS,Coforge Ltd.,Information Technology
COHANCE,COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare
COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CAMS,CAMS.NS,Computer Age Management Services Ltd.,Financial Services
CONCORDBIO,CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare
CONCOR,CONCOR.NS,Container Corporation of India Ltd.,Services
COROMANDEL,COROMANDEL.NS,Coromandel International Ltd.,Chemicals
CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components
CREDITACC,CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services
CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CUMMINSIND,CUMMINSIND.NS,Cummins India Ltd.,Capital Goods
CYIENT,CYIENT.NS,Cyient Ltd.,Information Technology
DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified
DLF,DLF.NS,DLF Ltd.,Realty
DOMS,DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods
DABUR,DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT,DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials
DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods
DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Ltd.,Chemicals
DELHIVERY,DELHIVERY.NS,Delhivery Ltd.,Services
DEVYANI,DEVYANI.NS,Devyani International Ltd.,Consumer Services
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare
DIXON,DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables
LALPATHLAB,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare
DUMMYVEDL1,DUMMYVEDL1.NS,Dummy Vedanta Ltd. 1,Metals & Mining
DUMMYVEDL2,DUMMYVEDL2.NS,Dummy Vedanta Ltd. 2,Power
DUMMYVEDL3,DUMMYVEDL3.NS,Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels
DUMMYVEDL4,DUMMYVEDL4.NS,Dummy Vedanta Ltd. 4,Metals & Mining
EIDPARRY,EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods
EIHOTEL,EIHOTEL.NS,EIH Ltd.,Consumer Services
EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components
ELECON,ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods
ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods
EMAMILTD,EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods
EMCURE,EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare
EMMVEE,EMMVEE.NS,Emmvee Photovoltaic Power Ltd.,Capital Goods
ENDURANCE,ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components
ENGINERSIN,ENGINERSIN.NS,Engineers India Ltd.,Construction
ERIS,ERIS.NS,Eris Lifesciences Ltd.,Healthcare
ESCORTS,ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods
ETERNAL,ETERNAL.NS,Eternal Ltd.,Consumer Services
EXIDEIND,EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components
NYKAA,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services
FACT,FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals
FINCABLES,FINCABLES.NS,Finolex Cables Ltd.,Capital Goods
FSL,FSL.NS,Firstsource Solutions Ltd.,Services
FIVESTAR,FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services
FORCEMOT,FORCEMOT.NS,Force Motors Ltd.,Automobile and Auto Components
FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare
GAIL,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GVT&D,GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods
GMRAIRPORT,GMRAIRPORT.NS,GMR Airports Ltd.,Services
GABRIEL,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components
GALLANTT,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods
GRSE,GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods
GICRE,GICRE.NS,General Insurance Corporation of India,Financial Services
GILLETTE,GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods
GLAND,GLAND.NS,Gland Pharma Ltd.,Healthcare
GLAXO,GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare
MEDANTA,MEDANTA.NS,Global Health Ltd.,Healthcare
GODIGIT,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services
GPIL,GPIL.NS,Godawari Power & Ispat Ltd.,Capital Goods
GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJIND,GODREJIND.NS,Godrej Industries Ltd.,Diversified
GODREJPROP,GODREJPROP.NS,Godrej Properties Ltd.,Realty
GRANULES,GRANULES.NS,Granules India Ltd.,Healthcare
GRAPHITE,GRAPHITE.NS,Graphite India Ltd.,Capital Goods
GRASIM,GRASIM.NS,Grasim Industries Ltd.,Construction Materials
GRAVITA,GRAVITA.NS,Gravita India Ltd.,Metals & Mining
GESHIP,GESHIP.NS,Great Eastern Shipping Co. Ltd.,Services
FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals
GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining
HEG,HEG.NS,H.E.G. Ltd.,Capital Goods
HBLENGINE,HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods
HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology
HDBFS,HDBFS.NS,HDB Financial Services Ltd.,Financial Services
HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services
HFCL,HFCL.NS,HFCL Ltd.,Telecommunication
HAVELLS,HAVELLS.NS,Havells India Ltd.,Consumer Durables
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components
HEXT,HEXT.NS,Hexaware Technologies Ltd.,Information Technology
HSCL,HSCL.NS,Himadri Speciality Chemical Ltd.,Chemicals
HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining
HAL,HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods
HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining
HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining
POWERINDIA,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods
HOMEFIRST,HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services
HONASA,HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods
HONAUT,HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods
HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services
HYUNDAI,HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIAMC,ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services
ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services
IDBI,IDBI.NS,IDBI Bank Ltd.,Financial Services
IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services
IFCI,IFCI.NS,IFCI Ltd.,Financial Services
IIFL,IIFL.NS,IIFL Finance Ltd.,Financial Services
IRB,IRB.NS,IRB Infrastructure Developers Ltd.,Construction
IRCON,IRCON.NS,IRCON International Ltd.,Construction
ITCHOTELS,ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services
ITC,ITC.NS,ITC Ltd.,Fast Moving Consumer Goods
ITI,ITI.NS,ITI Ltd.,Telecommunication
INDGN,INDGN.NS,Indegene Ltd.,Healthcare
INDIACEM,INDIACEM.NS,India Cements Ltd.,Construction Materials
INDIAMART,INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services
INDIANB,INDIANB.NS,Indian Bank,Financial Services
IEX,IEX.NS,Indian Energy Exchange Ltd.,Financial Services
INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services
IOC,IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IOB,IOB.NS,Indian Overseas Bank,Financial Services
IRCTC,IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IRFC,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services
